Name ,Description ,Latitude ,Longitude ,InfoURL,ImageURL
UCSB ,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Sands Beach at Coal Oil Point ,A beautiful beach on the Santa Barbara coast with great surf. ,34.40798,-119.87896,https://www.californiabeaches.com/beach/sands-beach/,https://www.santabarbara.com/activities/beaches/isla-vista/sands-beach/thumb.jpg
Rincon Point ,A world class surf break located on the California Coast.,34.37291,-119.47785,https://www.californiabeaches.com/rincon-point-surfing/,https://i.pinimg.com/originals/34/16/75/34167551aa4eb2800186db62bc2fd4a1.jpg
Santa Barbara Harbor ,A central hub for Santa Barbara seafood and nautical excursions.,34.40374,-119.69366,https://santabarbaraca.com/businesses/santa-barbara-harbor/,https://img.marinas.com/v2/adb5375fe7ecec979fb9866a1f450ce4423f9f67605fd36bcf8782695a2bc6a8.jpg
SLO Brew Rock ,A fun restaurant and taproom with an amazing outdoor space and social atmosphere.,35.24188,-120.64111,https://www.slobrew.com/the-rock/,https://www.slobrew.com/wp-content/uploads/2015/10/header-rock-outdoor.jpg
